nbEleves;Depenses
Allemagne;14065,4;106626,4
Autriche;1467,8;13722,8
Belgique;2427,7;18427,4
Bulgarie;1141,8;2968
Danemark;1151,6;12909,4
Espagne;7615,3;51025,8
Estonie;257,5;1116,1
Finlande;1251,3;9177,7
France;12264,6;96315,8
Hongrie;1873;8160,8
Irlande;1053,4;7873,1
Italie;9510,4;65641,2
Lettonie;430,6;1579,4
Lituanie;738;2325,9
Luxembourg;80,2;1035,9
Malte;74;492,9
PaysBas;3379,7;28686,1
Pologne;8168,4;25397,1
Portugal;2108,6;10575,5
RepTcheque;1855,4;8648,5
Roumanie;3903,5;9486,1
RoyaumeUni;12670,5;91829,7
Slovaquie;1059,4;3288,2
Slovenie;387,9;2314
Suede;2022,8;18715,7
PaysMagique;35062,2;62050,8
