Le Jeu de Paume – Hôtel Parc Beaumont!;1 avenue Edouard VII, 64000 Pau;59;9.4
VTS Best Indian;57 boulevard d’Alsace Lorraine, 64000 Pau;26;9.3
Oyster Bar;8 rue Carnot, 64000 Pau;19;8.9
Le Dragon Rouge;6 rue Laclede, 64000 Pau;13;9.4
Suzani;2B rue Saint Louis, 64000 Pau;19;7.5
Au Petit Pekin;32 rue Tran, 64000 Pau;20;8.4
Les Rosbifs;1bis rie des Orphelines, 64000 Pau;20;9.7
La Brochetterie;16 rue Henri IV, 64000 Pau;37;9
Sushi Shop;23 rue Valéry Meunier, 64000 Pau;32;8.6
Maison Ruffet;59 avenue Trespoey, 64000 Pau;120;0
Li Mei;134 avenue Jean Mermoz, 64000 Pau;18;8.5
L’etna;16 rue Château, 64000 Pau;13;0
Le Pilota;458 boulevard du Cami Salié!, 64000 Pau;29;0
A la maison;28 rue Amédée Roussille, 64000 Pau;32;0
